Entity Source;Entity Source ID;Entity Target;Entity Target ID;Cosine Similarity;Jaro Similarity;Relevance
Energen rasa kacang hijau;15391;Kopiko Java Coffee 2 In 1;25494;0.9928426742553711;0.5;0
Energen rasa kacang hijau;15391;Torabika 3 In 1 Premium;46608;0.9901170134544373;0.5182081686429513;0
Energen rasa kacang hijau;15391;Energen Go Fruit With Banana;15165;0.9895406365394592;0.8350827067669173;1
Energen rasa kacang hijau;15391;Beng Beng Drink Dark Chocolate;7142;0.9871639609336853;0.6437037037037037;0
Energen rasa kacang hijau;15391;Torabika Susu Full Cream;45931;0.9870138168334961;0.4812626262626263;0
Energen rasa kacang hijau;15391;Kopiko Breakfast Blend;25585;0.986161470413208;0.4785858585858585;0
Energen rasa kacang hijau;15391;Energen Susu Cereal Rasa Jahe;15226;0.9859158396720886;0.8479310344827586;1
Energen rasa kacang hijau;15391;Kopiko L A Coffee As You Like;26150;0.9853476881980896;0.49237547892720307;0
Energen rasa kacang hijau;15391;Kopiko Brown Coffee As You Like;25898;0.9847860336303711;0.45569892473118284;0
Energen rasa kacang hijau;15391;RBDOL MINYAK GORENG SAWIT MEREK SIIP;37721;0.9842396378517151;0.5166666666666666;0
Nissin Wafer Krim Rasa Strawberry;32851;Monde Kukis Coklat Chip Chocolate Chips Cookies ;31486;0.9864598512649536;0.492003367003367;0
Nissin Wafer Krim Rasa Strawberry;32851;Nissin Ring Kukis;33274;0.9854861497879028;0.6620617944147357;0
Nissin Wafer Krim Rasa Strawberry;32851;Khong Guan Malkist Square Puff ;25138;0.9846049547195435;0.530983458877197;0
Nissin Wafer Krim Rasa Strawberry;32851;Khong Guan Malkist Malkist Crackers ;25197;0.9839151501655579;0.597041847041847;0
Nissin Wafer Krim Rasa Strawberry;32851;Nissin Biskuit Gandum Digestive ;33416;0.9836434125900269;0.6354498936735778;0
Nissin Wafer Krim Rasa Strawberry;32851;Nissin Krekers Mini Stick Crackers ;33159;0.9833978414535522;0.6977476629650544;0
Nissin Wafer Krim Rasa Strawberry;32851;Khong Guan Biskuit Dengan Krim Mentega Butter Cream ;24758;0.9833869934082031;0.568164926860579;0
Nissin Wafer Krim Rasa Strawberry;32851;Nissin Biskuit Sayuran Vegee Biscuit ;33010;0.9832992553710938;0.6476931476931477;0
Nissin Wafer Krim Rasa Strawberry;32851;Nissin Biscoco Biskuit;33332;0.9829848408699036;0.6154401154401153;0
Nissin Wafer Krim Rasa Strawberry;32851;Nissin Biskuit Coklat Egg Drop Chocolate ;32843;0.982732355594635;0.5920047717223583;0
John Farmer Peanut Pasta 16;23252;John Farmer Peanut Butter Creamy 02;23586;0.9868212938308716;0.8795863395863397;1
John Farmer Peanut Pasta 16;23252;John Farmer Peanut Pasta 23;23361;0.98604816198349;0.9703703703703704;1
John Farmer Peanut Pasta 16;23252;John Farmer Cashew Pasta 02;22682;0.9856254458427429;0.8825396825396825;1
John Farmer Peanut Pasta 16;23252;John Farmer Peanut Butter Chunky 08;23111;0.9854921102523804;0.8755555555555556;1
John Farmer Peanut Pasta 16;23252;John Farmer Almond Pasta 03;22568;0.9854282140731812;0.8825396825396825;1
John Farmer Peanut Pasta 16;23252;John Farmer Peanut Pasta 30;23343;0.9849071502685547;0.9703703703703704;1
John Farmer Peanut Pasta 16;23252;John Farmer Peanut Pasta 05;23266;0.9846920371055603;0.9703703703703704;1
John Farmer Peanut Pasta 16;23252;John Farmer Peanut Butter Creamy 00;23584;0.984586238861084;0.8795863395863397;1
John Farmer Peanut Pasta 16;23252;John Farmer Peanut Pasta 06;23267;0.984528660774231;0.9851851851851852;1
John Farmer Peanut Pasta 16;23252;John Farmer Peanut Pasta 15;23255;0.9839776754379272;0.9851851851851852;1
